method,seed,mean_completion_time,mean_p95_completion_time
random,51,3.1613519590099646,3.7129061389791587
nearest,51,1.5800022303952022,2.0662515800176315
greedy,51,1.4757753257560622,1.9576702745852552
dqn_wdsa_std_cache,51,1.3936524445811735,1.6846022686728293
discrete_sac_std_cache,51,1.349368092717003,1.6711789306792366
daoc_paper,51,1.4467800532680766,1.7515050122594962
daoc_our_coord_cache,51,1.459419155578069,1.7891850057760188
coord_cache_discrete_sac,51,1.3880782037865296,1.6759191248167118
lean_our,51,1.2544581049590564,1.537393808211751
random,52,2.4576764765781833,2.9295402274966027
nearest,52,1.6949671265429869,2.235295172565032
greedy,52,1.5730384740149403,2.048787873843209
dqn_wdsa_std_cache,52,2.338884395073037,3.0812558059310136
discrete_sac_std_cache,52,2.4378354352394402,2.9738378170348465
daoc_paper,52,2.5999943186965133,3.2612466449971875
daoc_our_coord_cache,52,1.3728506788205856,1.748496097656471
coord_cache_discrete_sac,52,1.3325687881387105,1.607728682125753
lean_our,52,1.224122070588622,1.5093328982866692
random,53,1.4999025922211247,1.7872845520844454
nearest,53,2.3402129644625136,3.0572308427785315
greedy,53,2.2114936912147325,2.915987960304361
dqn_wdsa_std_cache,53,1.8159515410646485,2.1985135745163986
discrete_sac_std_cache,53,1.5517620306585187,1.8489464622964997
daoc_paper,53,1.8068280891563953,2.252955861798974
daoc_our_coord_cache,53,1.3325095032387293,1.6014105456718546
coord_cache_discrete_sac,53,1.2256372712209616,1.4950481384530607
lean_our,53,1.1953514663791116,1.4502228754365591
random,54,2.447712211107187,2.9308679221392326
nearest,54,2.420986740940599,3.2400178949194127
greedy,54,1.8275522200684011,2.416637310221569
dqn_wdsa_std_cache,54,1.7274590577538436,2.21583008768138
discrete_sac_std_cache,54,1.5900344953252352,1.8931739204601827
daoc_paper,54,1.8131058040068744,2.1957756756836706
daoc_our_coord_cache,54,1.3211244575840402,1.5937772178491556
coord_cache_discrete_sac,54,1.2442135658097324,1.496483646741186
lean_our,54,1.243100496751792,1.4809111434411395
random,55,1.9118762903414719,2.3995989358660017
nearest,55,1.3389882922092804,1.6496380902384835
greedy,55,1.2398606731228035,1.5851618783985404
dqn_wdsa_std_cache,55,1.6719191267737554,2.0052583472276218
discrete_sac_std_cache,55,1.6203333941498945,1.9766425060952377
daoc_paper,55,1.732679024046565,2.154861806010263
daoc_our_coord_cache,55,1.3578167333173234,1.6342409626431624
coord_cache_discrete_sac,55,1.113477512016426,1.3368166077449917
lean_our,55,1.1269335753719572,1.3972364759929659
random,56,2.8553379383972164,3.3959296852318444
nearest,56,3.0591941913550182,3.674550184557961
greedy,56,1.5373917878576304,1.9559561230759597
dqn_wdsa_std_cache,56,2.982709726374428,3.5630808312929565
discrete_sac_std_cache,56,2.3107517532693485,3.074621048341621
daoc_paper,56,2.938151421791828,3.5731607121553206
daoc_our_coord_cache,56,1.3325242194493958,1.6911936288032519
coord_cache_discrete_sac,56,1.2295572927352054,1.5544443657352673
lean_our,56,1.1952133667295852,1.5779482137237377
random,57,2.183880599008319,2.7029353812416685
nearest,57,2.0680398508592237,3.0555268220913927
greedy,57,1.842834102929693,2.425792986359299
dqn_wdsa_std_cache,57,2.7402065181131094,3.7874686650503167
discrete_sac_std_cache,57,1.267979428079121,1.6302379565859653
daoc_paper,57,1.6156484904707282,2.4221166632101223
daoc_our_coord_cache,57,2.080570111762821,2.6536416233797784
coord_cache_discrete_sac,57,1.147376120189558,1.448683760170679
lean_our,57,1.0855433418607126,1.324046257359147
random,58,2.72016732354113,3.2602671987958836
nearest,58,2.415406433670975,3.1028710575086547
greedy,58,1.5691855678161115,2.0640872027432113
dqn_wdsa_std_cache,58,1.9692917075558507,2.538647537246419
discrete_sac_std_cache,58,1.3971857628177478,1.707450112354247
daoc_paper,58,2.234599009411429,3.0817640374556343
daoc_our_coord_cache,58,1.4745299362747755,1.9168319702843346
coord_cache_discrete_sac,58,1.3341686009982399,1.6413540603976096
lean_our,58,1.215746152430187,1.4656286682606856
random,59,2.813207676143079,3.159578573981491
nearest,59,2.721691761141726,3.0373414928150084
greedy,59,2.560349469629844,2.8208257752254453
dqn_wdsa_std_cache,59,2.6908794976757764,3.163488599808854
discrete_sac_std_cache,59,2.4446134883211257,2.9934067844109666
daoc_paper,59,2.4753581160175555,2.972119227464323
daoc_our_coord_cache,59,1.4172750626609605,1.7584786467633027
coord_cache_discrete_sac,59,1.2115880455583605,1.5569490077402752
lean_our,59,1.1574248310072155,1.4734188301426605
random,60,3.1681531985879854,3.9326710291217557
nearest,60,2.1645432779600737,3.03077662154867
greedy,60,1.9847721297203254,2.7521840066976604
dqn_wdsa_std_cache,60,2.9648526741358676,4.287319507094939
discrete_sac_std_cache,60,2.707958577456871,3.678922497942753
daoc_paper,60,2.355769432600027,3.106776120910899
daoc_our_coord_cache,60,1.376924894009453,1.6707265672225264
coord_cache_discrete_sac,60,1.37415857125479,1.6582151344672271
lean_our,60,1.2907922765302553,1.5848748305389415
