setting,method,display_name,seeds,mean_mean_finish_time,std_mean_finish_time,min_mean_finish_time,max_mean_finish_time,mean_p95_finish_time,std_p95_finish_time,min_p95_finish_time,max_p95_finish_time,mean_cache_hit_rate,std_cache_hit_rate,min_cache_hit_rate,max_cache_hit_rate,mean_remote_loading_rate,std_remote_loading_rate,min_remote_loading_rate,max_remote_loading_rate,mean_service_latency,std_service_latency,min_service_latency,max_service_latency,mean_waiting_latency,std_waiting_latency,min_waiting_latency,max_waiting_latency
0.5,greedy,SA-Nearest,3,1.056675502597521,0.22675273947799754,0.8644117312172852,1.306732001399912,1.4151205009153986,0.2258516084913679,1.19809589203525,1.6488693352237667,0.35219157088122605,0.05912838783776769,0.2991494252873564,0.4159425287356322,0.6478084291187739,0.059128387837767714,0.5840574712643679,0.7008505747126438,3.4576654446654564,1.0686456061492433,2.6645357163050716,4.672895293461041,0.23257635006639743,0.17091380917773238,0.10353859901598286,0.42641449820992233
0.5,daoc_paper,DAOC,3,0.4445452922901382,0.08387895703300284,0.35565920494546593,0.5223069049647711,0.5989827310267579,0.09306247754787465,0.49196527281091235,0.6609219082315192,0.22892064176245208,0.0714551351362061,0.1870215804597701,0.3114265517241379,0.7710793582375479,0.07145513513620605,0.6885734482758622,0.8129784195402299,1.2716935794076674,0.2866543213366709,0.9429677213001186,1.4696002500473049,0.148708639043963,0.05181477598285992,0.1127013176084013,0.20809316022199845
0.5,our_flat_ddqn,DDQN + DCC,3,0.2688895939725055,0.03635984181965075,0.22866874770139722,0.29942837944722533,0.3994630607713759,0.01674516160852747,0.3801376626067831,0.4096708989466273,0.29394481800766287,0.0578520516731851,0.23125669540229887,0.3452766091954023,0.7060551819923372,0.05785205167318518,0.6547233908045976,0.7687433045977012,0.7598755930099746,0.15101591723738644,0.6266028613740758,0.9239008263168647,0.1274774631706057,0.01295867782328023,0.11266234781593243,0.13670480069681634
0.5,coord_cache_discrete_sac,SAC + DCC,3,0.2293040118147398,0.03860783161352751,0.18523353194570968,0.25716241798280437,0.3237380259153183,0.05020040372105845,0.26844627205636074,0.36645695828016245,0.3933875383141763,0.09151796928944579,0.32667735632183903,0.49772045977011503,0.6066124616858238,0.09151796928944568,0.5022795402298851,0.6733226436781607,0.6897494364671571,0.16591825502180876,0.5827206104801169,0.8808774031367556,0.10674029085203122,0.03667903603222291,0.0726545377597672,0.14555408289000732
0.5,lean_our,OUR,3,0.21952925927804037,0.03665249855924989,0.17863641908373595,0.2494222325173776,0.31637162439811156,0.03527043677434539,0.2792569566355862,0.3494506588654322,0.5490582758620689,0.0874628169400958,0.450608908045977,0.6177902873563218,0.45094172413793104,0.08746281694009586,0.3822097126436781,0.549391091954023,0.6010394103231965,0.16402581552174053,0.45005150766210406,0.7755609239537177,0.11377067064712755,0.0611514701289292,0.0695746380184452,0.18356077565385726
1.0,greedy,SA-Nearest,3,1.9601353667777202,0.5143006575829594,1.484055295007588,2.5056099328277854,2.6578443105502685,0.48053898051486904,2.1756806182947774,3.13674193032893,0.35219157088122605,0.05912838783776769,0.2991494252873564,0.4159425287356322,0.6478084291187739,0.059128387837767714,0.5840574712643679,0.7008505747126438,6.915330889330913,2.1372912122984866,5.329071432610143,9.345790586922082,0.23257635006639743,0.17091380917773238,0.10353859901598286,0.42641449820992233
1.0,daoc_paper,DAOC,3,0.8058881491352436,0.16937454563909105,0.6465796640166758,0.9837938122306644,1.1080718830274343,0.2140383548823528,0.8710717582333635,1.2872812774619755,0.231489061302682,0.06846261070318181,0.181109540229885,0.30943824712643675,0.7685109386973178,0.06846261070318171,0.6905617528735633,0.8188904597701147,2.5664199396101934,0.5925214782410748,1.8831439632456313,2.938589178492039,0.15105175561570958,0.04960456251672142,0.1134604625433883,0.20727444633570152
1.0,our_flat_ddqn,DDQN + DCC,3,0.45390989173795343,0.06574448408306631,0.3841112411319465,0.5146635874168525,0.7002227908711655,0.052251886650118505,0.6405312201011568,0.7376808651861583,0.2953673563218391,0.05185258489705861,0.23825948275862072,0.3395004022988506,0.704632643678161,0.05185258489705859,0.6604995977011494,0.7617405172413793,1.5092157191054767,0.29166661825791557,1.2546898008875018,1.8274808612451332,0.12919117319952747,0.014241827330210937,0.11281476266181709,0.1386791973514656
1.0,coord_cache_discrete_sac,SAC + DCC,3,0.37753567611147015,0.059744675497099976,0.3124639745951911,0.42991293550372617,0.5498807320254583,0.07724170579072241,0.4703513122639275,0.6246109199918469,0.3994528256704981,0.0872811382528924,0.3475165804597702,0.500220459770115,0.600547174329502,0.08728113825289242,0.4997795402298851,0.6524834195402299,1.36776882410845,0.3524638764436362,1.1415300762812888,1.7738776277526498,0.10692687166088932,0.03882773691042631,0.07242502950280078,0.14897316164945054
1.0,lean_our,OUR,3,0.356685161906025,0.06200439659702811,0.29901402263471416,0.4222640978643699,0.5438561727567839,0.03745102749610581,0.5043855095619612,0.5788927958269672,0.5492633045977011,0.08817190688686741,0.4496677586206897,0.6173594540229885,0.4507366954022989,0.08817190688686746,0.38264054597701147,0.5503322413793104,1.201631126727813,0.33137438951812564,0.9007028123053286,1.556767212186781,0.1146622365013283,0.06096805528132376,0.07001307138209675,0.18412430738396834
2.0,greedy,SA-Nearest,3,3.774095187645409,1.082894944263833,2.744462700110065,4.903365795683532,5.15530253390182,0.9731786597576327,4.166881883059268,6.112487120539259,0.35219157088122605,0.05912838783776769,0.2991494252873564,0.4159425287356322,0.6478084291187739,0.059128387837767714,0.5840574712643679,0.7008505747126438,13.830661778661826,4.274582424596973,10.658142865220286,18.691581173844163,0.23257635006639743,0.17091380917773238,0.10353859901598286,0.42641449820992233
2.0,daoc_paper,DAOC,3,1.5919148958279585,0.41986414506027836,1.2655994685277259,2.065595687101298,2.176606261730617,0.511554364727495,1.7040801876267992,2.7198337919096236,0.23868974137931032,0.059234771654908494,0.18691617816091952,0.30328545977011495,0.7613102586206897,0.05923477165490841,0.6967145402298851,0.8130838218390803,5.327180504382477,1.365333324029559,3.756173494283483,6.227086004040762,0.15234363268890974,0.04551101274494906,0.1156986821443251,0.20328685259953957
2.0,our_flat_ddqn,DDQN + DCC,3,0.8178079107440324,0.12126642882910417,0.6947099846966678,0.9371558548408474,1.286492938139551,0.13811117906419748,1.128433749745725,1.3838982637699773,0.2913767816091954,0.043763644870114624,0.2461980459770115,0.33357272988505743,0.7086232183908047,0.04376364487011479,0.6664272701149424,0.7538019540229887,3.0129089117412406,0.5652714560815556,2.548641927983243,3.642375947264305,0.13351972795563946,0.018861049436730018,0.11251529200372543,0.14900686705546892
2.0,coord_cache_discrete_sac,SAC + DCC,3,0.6770162998183032,0.10019072344992998,0.5816125483656501,0.7813906928876122,1.0165097698843748,0.10198430590298947,0.9105173261289464,1.113946964417723,0.4052613601532567,0.08879039142687324,0.33879997126436784,0.506100459770115,0.5947386398467432,0.0887903914268733,0.49389954022988497,0.6612000287356322,2.730013235079405,0.7447261663713254,2.2378260984388096,3.586787513568511,0.10618748501668868,0.0418827835418623,0.07051251371476444,0.15230287501308723
2.0,lean_our,OUR,3,0.6307991332680593,0.11912184113768415,0.538715823882128,0.7653309633220943,1.0069230113975915,0.06935920182675324,0.9457202330233889,1.0822610054793758,0.5498711590038313,0.08827646190530991,0.44977022988505744,0.6165825574712643,0.45012884099616857,0.08827646190530986,0.3834174425287356,0.5502297701149425,2.40480021933702,0.6509096902371095,1.8238423455268062,3.108255410387576,0.1164569461152159,0.060400131297883526,0.07063233908888561,0.18490225857753098
4.0,greedy,SA-Nearest,3,7.402014829380787,2.2211331265501806,5.265277510315019,9.698877521395028,10.150218980604924,1.958801991396947,8.149284412588253,12.063977500959913,0.35219157088122605,0.05912838783776769,0.2991494252873564,0.4159425287356322,0.6478084291187739,0.059128387837767714,0.5840574712643679,0.7008505747126438,27.66132355732365,8.549164849193946,21.316285730440573,37.38316234768833,0.23257635006639743,0.17091380917773238,0.10353859901598286,0.42641449820992233
4.0,daoc_paper,DAOC,3,3.2454339199814606,1.0742668018215544,2.499692814030326,4.476763449068872,4.30761189299839,1.1608549806194632,3.305137323250053,5.5794773883508215,0.22902271072796934,0.06579518414947598,0.16808479885057473,0.29878459770114946,0.7709772892720306,0.06579518414947591,0.7012154022988506,0.8319152011494252,11.034526100956603,3.1335852420273853,7.462284368795276,13.319318426322445,0.1451225045019596,0.044374162062482694,0.11306234285259231,0.19576726118833243
4.0,our_flat_ddqn,DDQN + DCC,3,1.5953582755915283,0.23832433095600164,1.3271497016258016,1.7828161694260307,2.4981433901947905,0.28811170422430765,2.1715397394383213,2.716271264085066,0.278087653256705,0.03841727681562259,0.2493012931034483,0.32171089080459775,0.7219123467432951,0.0384172768156227,0.6782891091954022,0.7506987068965519,6.115372353173211,0.9928132711676781,5.404426398397382,7.249687470180946,0.14257409414546376,0.0342040477318932,0.11261897749197383,0.17984369412281773
4.0,coord_cache_discrete_sac,SAC + DCC,3,1.2708957457790901,0.18363731749547973,1.121494090710333,1.4759116663532725,1.947126707438554,0.09655372985928705,1.8465191662581335,2.0390383467913273,0.4092702107279694,0.09631741618024806,0.3288528735632184,0.5160133333333334,0.5907297892720306,0.09631741618024807,0.48398666666666657,0.6711471264367816,5.394949848364011,1.5947789097774097,4.349879412927997,7.230569454003833,0.10663697071835239,0.04700807715051746,0.06864752010515138,0.15920788623422727
4.0,lean_our,OUR,3,1.1776270031578868,0.23098642560981858,1.0119734146736397,1.4414894162232659,1.9564973006377302,0.18889747807172338,1.8105973992431665,2.16986509671675,0.5506920977011495,0.08749971139439128,0.45091324712643677,0.6143414367816092,0.44930790229885065,0.08749971139439132,0.38565856321839087,0.5490867528735633,4.812778882381696,1.2803163570964298,3.6992364724599436,6.211706515939965,0.11792043578839863,0.060069264303828994,0.07090036178911979,0.18559098676636512
