phase,method,metric,mean,ci95_lower,ci95_upper
tail,daoc_paper,average_finish_time,0.7079456047203323,0.5578893799622785,0.8580018294783861
tail,daoc_paper,p95_finish_time,1.2337789547025717,1.0034841489577855,1.464073760447358
tail,daoc_paper,waiting_latency,0.13351543621406886,0.11101481228451605,0.15601606014362168
tail,daoc_paper,service_latency,2.014124347745979,1.5953055489385093,2.4329431465534483
tail,daoc_paper,cache_hit_rate,0.36674804881553946,0.2887644703358739,0.44473162729520505
tail,daoc_paper,cache_remote_loading_rate,0.6332519511844605,0.5552683727047949,0.7112355296641262
tail,dqn_wdsa_std_cache,average_finish_time,1.0638611235987336,0.8742130313642331,1.2535092158332342
tail,dqn_wdsa_std_cache,p95_finish_time,1.8447410266738544,1.4163008717998584,2.2731811815478506
tail,dqn_wdsa_std_cache,waiting_latency,0.12409512948573709,0.08718952046267292,0.16100073850880126
tail,dqn_wdsa_std_cache,service_latency,3.8389327834239024,2.853039796609001,4.824825770238804
tail,dqn_wdsa_std_cache,cache_hit_rate,0.12306191513282161,0.08662658691257816,0.15949724335306506
tail,dqn_wdsa_std_cache,cache_remote_loading_rate,0.8769380848671785,0.840502756646935,0.913373413087422
tail,daoc_our_coord_cache,average_finish_time,0.2726443483917934,0.1937174461639608,0.351571250619626
tail,daoc_our_coord_cache,p95_finish_time,0.5838753862625714,0.3409545747249042,0.8267961978002386
tail,daoc_our_coord_cache,waiting_latency,0.12508439878303232,0.09599776197612195,0.1541710355899427
tail,daoc_our_coord_cache,service_latency,0.85815051260719,0.4610813999870719,1.255219625227308
tail,daoc_our_coord_cache,cache_hit_rate,0.5322730891192793,0.4893540024771613,0.5751921757613973
tail,daoc_our_coord_cache,cache_remote_loading_rate,0.4677269108807208,0.4248078242386029,0.5106459975228388
tail,lean_our,average_finish_time,0.222293005388277,0.14535583289377962,0.2992301778827744
tail,lean_our,p95_finish_time,0.45674253193111436,0.2740141735695002,0.6394708902927285
tail,lean_our,waiting_latency,0.10505853916425836,0.08192850346351449,0.12818857486500224
tail,lean_our,service_latency,0.5604364288108087,0.25469875307698187,0.8661741045446355
tail,lean_our,cache_hit_rate,0.688561573138357,0.644570517401126,0.7325526288755879
tail,lean_our,cache_remote_loading_rate,0.31143842686164297,0.267447371124412,0.3554294825988739
tail,coord_cache_discrete_sac,average_finish_time,0.48831336029121974,0.40080505883564504,0.5758216617467944
tail,coord_cache_discrete_sac,p95_finish_time,0.8081924584476896,0.6013599442462557,1.0150249726491234
tail,coord_cache_discrete_sac,waiting_latency,0.13616784103017596,0.11282756212337458,0.15950811993697733
tail,coord_cache_discrete_sac,service_latency,1.4157947914238183,1.0473624764215725,1.784227106426064
tail,coord_cache_discrete_sac,cache_hit_rate,0.18642755115249682,0.17953814653771438,0.19331695576727925
tail,coord_cache_discrete_sac,cache_remote_loading_rate,0.8135724488475032,0.8066830442327207,0.8204618534622857
tail,discrete_sac_std_cache,average_finish_time,1.5291874618687085,1.2729985376488646,1.7853763860885523
tail,discrete_sac_std_cache,p95_finish_time,2.419833593417813,2.121564459506329,2.7181027273292964
tail,discrete_sac_std_cache,waiting_latency,0.15900615514994937,0.1158070197245437,0.20220529057535502
tail,discrete_sac_std_cache,service_latency,4.442341346533894,3.5135984138219913,5.371084279245797
tail,discrete_sac_std_cache,cache_hit_rate,0.1631912847104475,0.14727157197882115,0.17911099744207384
tail,discrete_sac_std_cache,cache_remote_loading_rate,0.8368087152895525,0.8208890025579262,0.8527284280211788
evaluation,daoc_paper,average_finish_time,0.7736107624426019,0.6611452834440709,0.8860762414411328
evaluation,daoc_paper,p95_finish_time,1.0610170928478253,0.9183683688081001,1.2036658168875505
evaluation,daoc_paper,waiting_latency,0.12013794707872363,0.09640256760657395,0.14387332655087332
evaluation,daoc_paper,service_latency,2.5379026706859014,2.148896399241042,2.9269089421307606
evaluation,daoc_paper,cache_hit_rate,0.18147671551724137,0.13289510706574917,0.23005832396873357
evaluation,daoc_paper,cache_remote_loading_rate,0.8185232844827587,0.7699416760312665,0.8671048929342509
evaluation,dqn_wdsa_std_cache,average_finish_time,1.130813420455795,0.9380131796558272,1.3236136612557627
evaluation,dqn_wdsa_std_cache,p95_finish_time,1.4697964927423717,1.2390698216423703,1.700523163842373
evaluation,dqn_wdsa_std_cache,waiting_latency,0.118223655444083,0.09731651231666666,0.13913079857149935
evaluation,dqn_wdsa_std_cache,service_latency,4.2631668348568645,2.9769630205598685,5.549370649153861
evaluation,dqn_wdsa_std_cache,cache_hit_rate,0.096379841954023,0.08012372937517354,0.11263595453287245
evaluation,dqn_wdsa_std_cache,cache_remote_loading_rate,0.9036201580459771,0.8873640454671275,0.9198762706248266
evaluation,daoc_our_coord_cache,average_finish_time,0.37730532922756793,0.2731548536542861,0.48145580480084976
evaluation,daoc_our_coord_cache,p95_finish_time,0.5749890769637831,0.44745104848057393,0.7025271054469923
evaluation,daoc_our_coord_cache,waiting_latency,0.11830947499023534,0.09657438731366247,0.1400445626668082
evaluation,daoc_our_coord_cache,service_latency,1.4414388690008582,0.7778703056974441,2.105007432304272
evaluation,daoc_our_coord_cache,cache_hit_rate,0.3061716925287356,0.2710847824825499,0.3412586025749213
evaluation,daoc_our_coord_cache,cache_remote_loading_rate,0.6938283074712642,0.6587413974250785,0.7289152175174499
evaluation,lean_our,average_finish_time,0.2634291940176984,0.17401774295605943,0.3528406450793373
evaluation,lean_our,p95_finish_time,0.43443047439003185,0.30377787793177946,0.5650830708482842
evaluation,lean_our,waiting_latency,0.10838153263802808,0.0850411349198412,0.13172193035621496
evaluation,lean_our,service_latency,0.9356368723006053,0.40236501492066123,1.4689087296805494
evaluation,lean_our,cache_hit_rate,0.6160061609195402,0.5522717881894224,0.679740533649658
